trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-140.67215367405083,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-119.57798589286779,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-111.35654102515896,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-75.12275363868616,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-79.38351944062927,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-138.4342549365513,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-8.722171936718212,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,1,-79.00791188063984,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-64.01101152016314,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-66.20973186928461,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-70.98394438696255,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-48.58628609894134,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-23.65911527279786,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-76.74321026956089,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-37.822657178401734,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,8,-7.773138841315485,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,7.902779590955776,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,4,-31.121539888990252,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,33.363440654021986,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-11.670168337814209,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,16,18.00142496038976,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,3,-2.250661664491462,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,-99.21697652170363,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",30,0,16.1047195908317,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,9.445821067889133,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,5,25.713412662861117,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,14,10.907047373012313,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,3,24.295087103230223,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,0,-19.73297361378945,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,7,0.6959290463567296,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
