trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9988957522192562}",30,0,-60.39837855716424,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9977902837272593}",20,0,-225.85118216704865,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9966835918221061}",20,4,-134.09846008798627,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 3}",1
4,False,"{'a': 0.5, 'e': 0.995575673792913}",30,5,-106.55910038248778,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.9944665269197763}",25,4,-122.78150952373248,"{0: 13, 1: 2, 2: 1, 3: 4, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9933561484737319}",25,0,-108.72565278712604,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9922445357167149}",25,0,-27.59881089746163,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.991131685901519}",20,0,-224.61898758995954,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.9900175962717565}",20,0,-91.58389320649063,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9889022640618165}",20,0,-115.15489731576699,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9877856864968241}",25,5,-113.30987430996699,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.9866678607925988}",20,0,-48.2938873375816,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9855487841556134}",30,6,-78.44895572362913,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9844284537829514}",25,0,-129.2464294917376,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
