trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.46155852944109,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.04573381946663,"{0: 18, 1: 3, 2: 1, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,9,-76.02963719991192,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.10876829988696,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.0293449897058,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.64940436494293,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.15292763099043,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.34056012683877,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.85089738092023,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-138.98948059451962,"{0: 21, 1: 2, 2: 10, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.1911935330343,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.62217269631685,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.26346057755323,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.90594103257946,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.66535323465023,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.67231318791636,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.55294738339204,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.44646437963048,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-194.5465033390434,"{0: 16, 1: 6, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,11,-18.26789787484336,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-85.56281553854,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.97706749566234,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-242.61584252319727,"{0: 16, 1: 1, 2: 9, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.17735430020034,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-24.48821129155086,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-209.94032035753884,"{0: 20, 1: 4, 2: 7, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-177.7042756132063,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.185582470986,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-132.93502187905543,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-47.47457191144253,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
